,收盘,gain,loss,gain_llt,loss_llt,vnsp_llt
2020-10-19,2724.5,0.12677372477041868,-0.008203138045151758,0.07498311600255461,-0.0883793051577756,0.11917276858144284
2020-10-20,2689.67,0.09125124456658563,-0.022210960405319065,0.07762760874151378,-0.08403368354556316,0.11964445051429587
2020-10-21,2740.58,0.07404561441914442,-0.0305059244858635,0.07842065291660666,-0.08061960716553986,0.11873045649937718
2020-10-22,2700.53,0.0955052613628501,-0.0156178887621196,0.07930542419103592,-0.07715301049621222,0.11788192943914272
2020-10-23,2673.59,0.07115319648415666,-0.027044761171351468,0.08004495289056686,-0.07373930767910006,0.11691460673011765
2020-10-26,2600.84,0.0837969044032324,-0.016660186030423463,0.08035957941974858,-0.07052334060902424,0.11562124972426154
2020-10-27,2617.74,0.08649336440193142,-0.013144837016249187,0.081149645840127,-0.06701047964107641,0.11465488566066612
2020-10-28,2650.76,0.07228835635831676,-0.0187017513002938,0.08151881242173205,-0.06373456684767599,0.11338609584557098
2020-10-29,2670.48,0.0788101181568938,-0.013009301921835975,0.08161203582048271,-0.060614142964040274,0.11191910730250379
2020-10-30,2699.92,0.09745958765859387,-0.005987463161563458,0.08251125066706509,-0.05723342303145919,0.11112796218279565
2020-11-02,2655.86,0.07076251813622653,-0.014138639196083406,0.08309681951614199,-0.05405616518757586,0.11012490210993094
2020-11-03,2708.39,0.10497779249664471,-0.003228296336804835,0.08389018820266872,-0.05094682194748215,0.10936359917641084
2020-11-04,2744.31,0.08282417436853308,-0.0073974328958436916,0.08502888658223434,-0.047773383840032706,0.10891557850225177
2020-11-05,2750.55,0.08003041701406706,-0.006845884815125946,0.08529243536301301,-0.044876621700003276,0.10773074621301576
2020-11-06,2787.88,0.09805562686600158,-0.002160048295527235,0.08603012912796797,-0.04195580138356715,0.10700802981975269
2020-11-09,2733.07,0.12075712532829125,-0.000728257559137851,0.0880478381505634,-0.03898417554137375,0.10753992592125144
2020-11-10,2814.0,0.15078343545762496,-0.00015611000479702678,0.09167297765581128,-0.036098696858140815,0.1097223260848829
2020-11-11,2773.22,0.14078672751310295,-0.0002741369177334388,0.09576302917236025,-0.03334623086882384,0.11243614460677341
2020-11-12,2681.52,0.14217026210551764,0.0,0.09936296563104177,-0.030730603927404045,0.11472826759474505
2020-11-13,2700.51,0.0989371715001377,-0.005577508269212434,0.10141511415343216,-0.02842325010009217,0.11562673920347953
2020-11-16,2706.81,0.1453134775729091,0.0,0.10345768671150601,-0.026237161237760927,0.11657626733038781
2020-11-17,2712.41,0.14766603887093468,0.0,0.10697315528925973,-0.023985495701947333,0.11896590314023475
2020-11-18,2658.09,0.12903924406162778,-0.0007331309890813252,0.10977515213850086,-0.021877116002055885,0.12071371013953017
2020-11-19,2620.67,0.11932014578251576,-0.0018184121244882224,0.11150538807664137,-0.019940732215361683,0.12147575418432355
2020-11-20,2645.16,0.05988438127768281,-0.02545102085508985,0.11088886298424457,-0.018912958194848433,0.12034534208167008
2020-11-23,2667.09,0.07809667269230848,-0.013373940349897839,0.10894870966837115,-0.018321564640171657,0.11810949198845824
2020-11-24,2686.36,0.12053611577546519,-0.0006052116321924862,0.1090630212649696,-0.01696154845743821,0.11754379549368991
2020-11-25,2674.8,0.1107605736924542,-0.0017204698271405868,0.11022165178919763,-0.015299582815080148,0.11787144319673884
2020-11-26,2615.53,0.10349814651500606,-0.0032308414122432434,0.11075734255676042,-0.013814995831472537,0.1176648404724978
2020-11-27,2609.39,0.07964730050921574,-0.011553016634389077,0.11024283612754841,-0.012733709487181175,0.11660969087114008
2020-11-30,2618.99,0.08636872223099318,-0.007702951767920692,0.10918442772418523,-0.011861847210025377,0.11511535132919899
2020-12-01,2631.89,0.13329001633639678,0.0,0.10991050762140785,-0.010668135022017878,0.11524457513241787
2020-12-02,2698.44,0.09261517929713041,-0.004098461373062655,0.11079279218842844,-0.009426876731025094,0.1155062305539421
2020-12-03,2682.97,0.08697391792717712,-0.0052449477457606275,0.11011437882986795,-0.00842830322447126,0.11432853044210474
2020-12-04,2712.52,0.09248635923275422,-0.002154585448417908,0.10945368991564881,-0.0074268870036015636,0.11316713341745077
2020-12-07,2730.84,0.08870153437128825,-0.00199439762270229,0.1088705910911387,-0.006380352493694676,0.11206076733798725
2020-12-08,2726.48,0.14156042793197005,0.0,0.10990125186171891,-0.005326626368438836,0.11256456504593958
2020-12-09,2746.28,0.11901797316643824,-0.0004979948997223702,0.11185689232228395,-0.0042875500229068554,0.11400066733373863
2020-12-10,2697.83,0.07910312982947305,-0.004089375177690981,0.11167521551651466,-0.0034441303581424386,0.11339728069558715
2020-12-11,2718.55,0.07985844969550915,-0.003093757410115183,0.11021830125772951,-0.002738282905692788,0.11158744271057716
2020-12-14,2687.78,0.05276892693601683,-0.0152135487166593,0.1079659746974177,-0.0024406164584449444,0.1091862829266414
2020-12-15,2726.6,0.06137379759424272,-0.005437898169535718,0.10521305859792153,-0.0022455926141665005,0.10633585490500597
2020-12-16,2758.85,0.08139999361760943,-0.0014956227119947707,0.10351697994723498,-0.0016257521075333514,0.10432985600100281
2020-12-17,2760.64,0.0471208941551925,-0.011336745454708287,0.10143227921180627,-0.0012396891543618432,0.1020521237889883
2020-12-18,2785.62,0.037263891929857115,-0.017953711770999838,0.09800685623262134,-0.001419277871337267,0.09871649516829108
2020-12-21,2780.73,0.07559178206328059,-0.0011940258163691039,0.09566818979714042,-0.0012716785836507515,0.09630402908896689
2020-12-22,2882.44,0.134023270214842,0.0,0.09658461696708714,-0.0005587026406548888,0.09686396828741567
2020-12-23,2811.75,0.06286645492705051,-0.004029614154252489,0.09703697118148882,1.6037974130004955e-05,0.09702895219442487
2020-12-24,2842.97,0.0904432708309367,-0.0012117039446752748,0.09604452201740321,0.0005121230379718437,0.09578846049841833
2020-12-25,2820.75,0.020801030079301033,-0.03668887676550857,0.09372735174508033,-8.917494565575308e-05,0.09377193921790924
2020-12-28,2840.8,0.05262649653650749,-0.005681715889873607,0.09028894265807637,-0.0008173217309324012,0.0906976035235436
2020-12-29,2842.81,0.037746342502644435,-0.010356365859126542,0.08756574460754238,-0.0006641148075953469,0.08789780201134106
2020-12-30,2813.0,0.034448412539757806,-0.01128271128636891,0.08438151513216818,-0.0007108298968475008,0.08473693008059291
2020-12-31,2900.54,0.10836860207969974,-0.00023691517565115012,0.08364726467653859,-0.0004363328604835735,0.08386543110678132
2021-01-04,2966.26,0.14686032169242857,0.0,0.08660264230135967,0.00018162960330340945,0.08651182749970891
2021-01-05,3078.11,0.20052259689100024,0.0,0.09240816505398218,0.0007671156887459681,0.09202460720961016
2021-01-06,3097.98,0.19785542059364425,0.0,0.0995848822928634,0.0013140139958329239,0.0989278752949479
2021-01-07,3115.09,0.11727259696758888,-0.00626748402769213,0.10369864720111671,0.001620418560099415,0.10288843792106797
2021-01-08,3162.4,0.0475394743103629,-0.020983709048239662,0.10271698839748078,0.001219598579201504,0.10210718910788102
2021-01-11,3150.78,0.08144998683425271,-0.01103639825637155,0.10061192687299156,0.0006735964949111228,0.100275128625537
2021-01-12,3092.86,0.13676813883944983,-0.003258923037912374,0.10150536424360962,0.0007212533751169595,0.10114473755605215
2021-01-13,3180.35,0.1473270697938867,-0.002101528376088086,0.1044915500322713,0.001047922872408489,0.10396758859606808
2021-01-14,3130.3,0.15539770227402802,-0.001168420778840636,0.10793130120750723,0.001417494143330784,0.10722255413584286
2021-01-15,3089.18,0.13723444839341484,-0.0024740110950479378,0.11086768685406594,0.0017478347265619545,0.10999376949078597
2021-01-18,3089.94,0.10116214125990647,-0.009233935228378813,0.11188914589918304,0.0017907565538072003,0.11099376762228046
2021-01-19,3149.2,0.07100029994063653,-0.01833080177812534,0.11069876792793243,0.0013070587008446233,0.1100452385775111
2021-01-20,3084.49,0.03513578543030783,-0.03694002931008743,0.10741165022768642,-6.26127097616276e-05,0.10744295658256818
2021-01-21,3204.93,0.10443210113695447,-0.006080687492947705,0.1053652693623355,-0.0009752312432610214,0.1058528849839669
2021-01-22,3283.72,0.0990011660610691,-0.006300432682740024,0.10548941178634001,-0.0008547191314188767,0.10591677135205028
2021-01-25,3358.24,0.15032172005254324,0.0,0.10709373657913673,-0.0005499831776044511,0.10736872816793976
2021-01-26,3355.24,0.17153142735718724,0.0,0.11097201850508845,-6.281916868628487e-05,0.11100342808943237
2021-01-27,3258.36,0.14678799330298656,-0.000683710365667675,0.11453894585481718,0.0003707578905647479,0.11435356690953556
2021-01-28,3281.03,0.062148418273282,-0.024753524617213106,0.11436684509242916,-2.933487689656235e-05,0.11438151253087818
2021-01-29,3161.86,0.03918119339275835,-0.04015483240740372,0.1106960307682616,-0.0017007903515111977,0.11154642594401792
2021-02-01,3128.86,0.04154192090390357,-0.035267372467891835,0.10652736219963407,-0.0036393890211453986,0.10834705671020749
